iter	Passed	Remaining
0	158	47447
1	259	38646
2	353	35040
3	451	33446
4	542	32008
5	639	31328
6	733	30713
7	829	30290
8	924	29900
9	1021	29613
10	1118	29373
11	1211	29078
12	1308	28878
13	1402	28647
14	1499	28482
15	1593	28291
16	1686	28082
17	1781	27914
18	1874	27724
19	1973	27627
20	2068	27475
21	2159	27291
22	2252	27128
23	2348	27006
24	2445	26895
25	2545	26826
26	2643	26729
27	2740	26619
28	2832	26471
29	2926	26342
30	3021	26220
31	3116	26096
32	3212	25992
33	3307	25879
34	3407	25799
35	3504	25700
36	3600	25594
37	3690	25446
38	3787	25345
39	3875	25193
40	3969	25075
41	4062	24956
42	4158	24854
43	4251	24736
44	4344	24620
45	4440	24519
46	4538	24428
47	4646	24396
48	4755	24362
49	4865	24329
50	4975	24294
51	5082	24238
52	5181	24149
53	5284	24071
54	5385	23988
55	5488	23914
56	5592	23843
57	5696	23768
58	5807	23722
59	5900	23603
60	5991	23475
61	6083	23353
62	6176	23235
63	6269	23117
64	6363	23006
65	6456	22889
66	6550	22779
67	6639	22653
68	6729	22528
69	6821	22412
70	6913	22297
71	7010	22201
72	7104	22092
73	7196	21977
74	7286	21858
75	7379	21751
76	7474	21647
77	7565	21532
78	7657	21420
79	7748	21309
80	7841	21201
81	7937	21100
82	8034	21005
83	8130	20906
84	8228	20813
85	8342	20759
86	8458	20708
87	8590	20694
88	8729	20695
89	8874	20707
90	9020	20716
91	9174	20742
92	9317	20739
93	9496	20810
94	9653	20831
95	9807	20840
96	9959	20842
97	10103	20824
98	10259	20830
99	10413	20826
100	10548	20784
101	10694	20759
102	10840	20734
103	10988	20709
104	11138	20685
105	11283	20650
106	11425	20609
107	11571	20572
108	11729	20553
109	11883	20525
110	12030	20485
111	12187	20457
112	12335	20413
113	12496	20388
114	12654	20356
115	12806	20313
116	12967	20282
117	13137	20262
118	13287	20210
119	13433	20150
120	13570	20075
121	13705	19995
122	13833	19906
123	13981	19844
124	14118	19766
125	14250	19679
126	14386	19597
127	14521	19512
128	14658	19431
129	14791	19342
130	14932	19264
131	15074	19185
132	15211	19100
133	15351	19017
134	15505	18951
135	15645	18866
136	15813	18814
137	15984	18764
138	16162	18720
139	16332	18665
140	16494	18599
141	16657	18533
142	16826	18473
143	16995	18411
144	17162	18346
145	17337	18287
146	17516	18231
147	17692	18170
148	17861	18100
149	18026	18026
150	18193	17952
151	18372	17889
152	18534	17807
153	18706	17734
154	18869	17652
155	19026	17563
156	19192	17481
157	19363	17402
158	19526	17316
159	19687	17226
160	19842	17130
161	20010	17046
162	20184	16964
163	20351	16877
164	20512	16783
165	20684	16696
166	20856	16609
167	21061	16548
168	21233	16459
169	21404	16368
170	21574	16275
171	21693	16144
172	21817	16016
173	21942	15889
174	22071	15765
175	22196	15638
176	22322	15512
177	22450	15387
178	22576	15261
179	22742	15161
180	22911	15063
181	23064	14953
182	23232	14853
183	23401	14753
184	23576	14655
185	23760	14563
186	23927	14458
187	24092	14352
188	24263	14249
189	24432	14144
190	24602	14040
191	24780	13938
192	24952	13833
193	25146	13740
194	25301	13623
195	25464	13511
196	25648	13409
197	25806	13294
198	25958	13174
199	26127	13063
200	26288	12947
201	26439	12826
202	26583	12702
203	26729	12578
204	26885	12459
205	27037	12337
206	27192	12217
207	27346	12095
208	27496	11972
209	27648	11849
210	27821	11735
211	28002	11623
212	28169	11505
213	28345	11391
214	28503	11268
215	28661	11146
216	28818	11022
217	28965	10895
218	29112	10767
219	29295	10653
220	29472	10535
221	29660	10421
222	29825	10298
223	29989	10175
224	30160	10053
225	30293	9919
226	30421	9783
227	30548	9646
228	30680	9512
229	30805	9375
230	30938	9241
231	31093	9113
232	31248	8985
233	31395	8855
234	31545	8725
235	31698	8596
236	31851	8466
237	32015	8340
238	32174	8211
239	32358	8089
240	32514	7959
241	32666	7829
242	32822	7699
243	32972	7567
244	33120	7435
245	33262	7301
246	33390	7164
247	33513	7027
248	33641	6890
249	33766	6753
250	33891	6616
251	34014	6479
252	34140	6342
253	34302	6212
254	34431	6076
255	34561	5940
256	34704	5806
257	34830	5670
258	34972	5536
259	35096	5399
260	35232	5264
261	35381	5131
262	35523	4997
263	35671	4864
264	35818	4730
265	35968	4597
266	36118	4464
267	36270	4330
268	36422	4197
269	36579	4064
270	36740	3931
271	36896	3798
272	37050	3664
273	37215	3531
274	37362	3396
275	37512	3261
276	37662	3127
277	37815	2992
278	37965	2857
279	38117	2722
280	38275	2588
281	38459	2454
282	38629	2320
283	38805	2186
284	38973	2051
285	39147	1916
286	39321	1781
287	39480	1645
288	39630	1508
289	39784	1371
290	39943	1235
291	40089	1098
292	40244	961
293	40409	824
294	40561	687
295	40688	549
296	40817	412
297	40947	274
298	41076	137
299	41235	0
